,ISO_A3,ai_blds_2024,blds_total,ai_percentage,ai_per_roun,non_ai_blds_2024,total_OSM_users,avg_OSM_users_month,pop_2022,hdi_2021,disaster_death_per_100k,disaster_death,hdi_2021_norm,disaster_death_per_100k_norm,avg_OSM_users_month_norm
92,SRB,11823.0,1383671.0,0.8544661267020845,0.854,1371848.0,3567.0,178.35,6664449.0,0.802,8.657880044,577.0,0.6243754930941503,0.18361161894202485,-0.11087330333763469
93,MLI,17998.0,2948120.0,0.6104907534293041,0.61,2930122.0,2594.0,129.7,22593590.0,0.428,0.110650853,25.0,-1.4764483365949708,-0.31623662164746313,-0.18987465893231442
94,SEN,6885.0,1278988.0,0.5383162312703481,0.538,1272103.0,1533.0,76.65,17316449.0,0.511,0.098172553,17.0,-1.0102227273324118,-0.316966361796132,-0.27602104977091174
95,NGA,1193616.0,11319410.0,10.544860553686101,10.545,10125794.0,11014.0,550.7,218541212.0,0.535,2.771559627,6057.0,-0.8754105029673345,-0.1606247222434389,0.49377530417889154
96,BEN,1869.0,885427.0,0.21108459534213436,0.211,883558.0,937.0,46.85,13352864.0,0.525,0.569166285,76.0,-0.93158226311945,-0.2894223024281239,-0.32441242483198995
97,AGO,914.0,701463.0,0.13029910344522805,0.13,700549.0,1444.0,72.2,35588987.0,0.586,0.618168761,220.0,-0.5889345261915456,-0.28655660164184804,-0.2832472785971466
98,HRV,1541.0,925681.0,0.16647203518274653,0.166,924140.0,4957.0,247.85,3855600.0,0.858,19.24473493,742.0,0.9389373499459969,0.8027386681751806,0.001985776083336341
99,SVN,15.0,730233.0,0.002054138884438255,0.002,730218.0,3901.0,195.05,2111986.0,0.918,7.386412599,156.0,1.2759679108586903,0.10925526893104479,-0.08375464684367472
100,QAT,8998.0,177331.0,5.074126915203771,5.074,168333.0,1341.0,67.05,2695122.0,0.855,0.0,0.0,0.9220858219003623,-0.3227075647982581,-0.29161021757582284
101,SAU,6115.0,134218.0,4.55602080197887,4.556,128103.0,2821.0,141.05,36408820.0,0.875,0.063171506,23.0,1.0344293422045934,-0.31901324873115916,-0.1714437157462997
102,BWA,9.0,1548005.0,0.0005813934709513212,0.001,1547996.0,852.0,42.6,2630296.0,0.693,0.0,0.0,0.012103307436090468,-0.3227075647982581,-0.33131387932895584
103,ZWE,1419.0,3923453.0,0.03616712115577783,0.036,3922034.0,1452.0,72.6,16320537.0,0.593,9.368564282,1529.0,-0.5496142940850647,0.22517295514124977,-0.2825977299386086
104,PAK,2045.0,486291.0,0.4205300941205986,0.421,484246.0,3248.0,162.4,235824862.0,0.544,1.593131432,3757.0,-0.8248559188304304,-0.2295400685818797,-0.13677405609683593
