country_iso_a3,year,month,n_users
COD,2022,7,229
COD,2022,8,198
COD,2022,9,277
COD,2022,10,152
COD,2022,11,626
COD,2022,12,237
COD,2023,1,263
COD,2023,2,225
COD,2023,3,609
COD,2023,4,311
COD,2023,5,192
COD,2023,6,381
COD,2023,7,185
COD,2023,8,130
COG,2022,1,29
COG,2022,2,20
COG,2022,3,23
COG,2022,4,38
COG,2022,5,21
COG,2022,6,23
COG,2022,7,14
COG,2022,8,25
COG,2022,9,22
COG,2022,10,39
COG,2022,11,44
COG,2022,12,37
COG,2023,1,46
COG,2023,2,38
COG,2023,3,25
COG,2023,4,36
COG,2023,5,42
COG,2023,6,134
COG,2023,7,29
COG,2023,8,14
COK,2022,1,2
COK,2022,2,4
COK,2022,3,1
COK,2022,4,5
COK,2022,5,2
COK,2022,6,2
COK,2022,7,2
COK,2022,8,3
COK,2022,9,2
COK,2022,11,3
COK,2022,12,1
COK,2023,1,7
COK,2023,2,3
COK,2023,3,1
COK,2023,4,2
COK,2023,5,2
COK,2023,6,3
COK,2023,7,3
COK,2023,8,2
COL,2022,1,437
COL,2022,2,432
COL,2022,3,482
COL,2022,4,365
COL,2022,5,454
COL,2022,6,339
COL,2022,7,312
COL,2022,8,346
COL,2022,9,315
COL,2022,10,376
COL,2022,11,328
COL,2022,12,341
COL,2023,1,288
COL,2023,2,327
COL,2023,3,289
COL,2023,4,355
COL,2023,5,359
COL,2023,6,256
COL,2023,7,315
COL,2023,8,235
COM,2022,1,12
COM,2022,2,7
COM,2022,3,5
COM,2022,4,21
COM,2022,5,22
COM,2022,6,3
COM,2022,7,3
COM,2022,8,2
COM,2022,9,3
COM,2022,10,1
COM,2022,11,1
COM,2022,12,90
COM,2023,1,13
COM,2023,2,5
COM,2023,3,6
COM,2023,4,7
COM,2023,5,6
COM,2023,6,7
COM,2023,7,6
COM,2023,8,4
CPV,2022,1,25
CPV,2022,2,28
CPV,2022,3,23
CPV,2022,4,21
CPV,2022,5,13
CPV,2022,6,22
CPV,2022,7,12
CPV,2022,8,15
CPV,2022,9,17
CPV,2022,10,19
CPV,2022,11,16
CPV,2022,12,13
CPV,2023,1,19
CPV,2023,2,11
CPV,2023,3,27
CPV,2023,4,13
CPV,2023,5,16
CPV,2023,6,14
CPV,2023,7,7
CPV,2023,8,7
CRI,2022,1,84
CRI,2022,2,78
CRI,2022,3,78
CRI,2022,4,73
CRI,2022,5,61
CRI,2022,6,65
CRI,2022,7,72
CRI,2022,8,86
CRI,2022,9,75
CRI,2022,10,72
CRI,2022,11,65
CRI,2022,12,77
CRI,2023,1,95
CRI,2023,2,64
CRI,2023,3,115
CRI,2023,4,127
CRI,2023,5,59
CRI,2023,6,98
CRI,2023,7,134
CRI,2023,8,68
CUB,2022,1,143
CUB,2022,2,228
CUB,2022,3,179
CUB,2022,4,177
CUB,2022,5,110
CUB,2022,6,87
CUB,2022,7,116
CUB,2022,8,119
CUB,2022,9,106
CUB,2022,10,125
CUB,2022,11,130
CUB,2022,12,122
CUB,2023,1,136
CUB,2023,2,137
CUB,2023,3,158
CUB,2023,4,157
CUB,2023,5,130
CUB,2023,6,136
CUB,2023,7,136
CUB,2023,8,110
CYM,2022,1,7
CYM,2022,2,10
CYM,2022,3,8
CYM,2022,4,1
CYM,2022,5,3
CYM,2022,6,1
CYM,2022,7,4
CYM,2022,8,3
CYM,2022,9,3
CYM,2022,10,4
CYM,2022,11,6
CYM,2022,12,4
CYM,2023,1,7
CYM,2023,2,5
CYM,2023,3,2
CYM,2023,4,3
CYM,2023,5,7
CYM,2023,6,6
CYM,2023,7,1
CYM,2023,8,4
CYP,2022,1,75
CYP,2022,2,63
CYP,2022,3,84
CYP,2022,4,92
CYP,2022,5,74
CYP,2022,6,81
CYP,2022,7,75
CYP,2022,8,85
CYP,2022,9,75
CYP,2022,10,82
CYP,2022,11,79
CYP,2022,12,75
CYP,2023,1,98
CYP,2023,2,82
CYP,2023,3,104
CYP,2023,4,87
CYP,2023,5,96
CYP,2023,6,79
CYP,2023,7,72
CYP,2023,8,62
CZE,2022,1,504
CZE,2022,2,474
CZE,2022,3,487
CZE,2022,4,600
CZE,2022,5,590
CZE,2022,6,548
CZE,2022,7,566
CZE,2022,8,661
CZE,2022,9,529
CZE,2022,10,539
CZE,2022,11,536
CZE,2022,12,474
CZE,2023,1,485
CZE,2023,2,534
CZE,2023,3,514
CZE,2023,4,547
CZE,2023,5,688
CZE,2023,6,635
CZE,2023,7,696
CZE,2023,8,516
DEU,2022,1,7248
DEU,2022,2,6556
DEU,2022,3,6876
DEU,2022,4,6980
DEU,2022,5,7613
DEU,2022,6,7168
DEU,2022,7,7788
DEU,2022,8,8196
DEU,2022,9,7225
DEU,2022,10,8143
DEU,2022,11,7380
DEU,2022,12,6348
DEU,2023,1,7236
DEU,2023,2,6670
DEU,2023,3,7178
DEU,2023,4,7547
DEU,2023,5,8020
DEU,2023,6,7715
DEU,2023,7,8110
DEU,2023,8,6004
DJI,2022,1,19
DJI,2022,2,10
DJI,2022,3,7
DJI,2022,4,11
DJI,2022,5,14
DJI,2022,6,13
DJI,2022,7,11
DJI,2022,8,4
DJI,2022,9,7
DJI,2022,10,11
DJI,2022,11,4
DJI,2022,12,9
DJI,2023,1,10
DJI,2023,2,9
DJI,2023,3,13
DJI,2023,4,6
DJI,2023,5,11
DJI,2023,6,13
DJI,2023,7,4
DJI,2023,8,8
DMA,2022,1,6
DMA,2022,2,7
DMA,2022,3,5
DMA,2022,4,8
DMA,2022,5,12
DMA,2022,6,3
DMA,2022,7,3
DMA,2022,8,3
DMA,2022,9,7
DMA,2022,10,8
DMA,2022,11,4
DMA,2022,12,6
DMA,2023,1,25
DMA,2023,2,6
DMA,2023,3,9
DMA,2023,4,6
DMA,2023,5,2
DMA,2023,6,8
DMA,2023,7,4
DMA,2023,8,3
DNK,2022,1,333
DNK,2022,2,241
DNK,2022,3,280
DNK,2022,4,323
DNK,2022,5,324
DNK,2022,6,300
